x y
612.2819917086997 496.12688986270047
605.3363588679049 498.9215915654981
703.7197024525229 1197.1712535395245
622.0758331909271 503.4180360014757
1388.6072476399058 1298.8570463842823
1397.2604520885618 1312.141378884757
498.19702456005297 94.54373720641648
1409.0899554512546 1294.4945774575115
713.3060515661962 1196.558663455614
492.93312122523787 102.82884128209486
608.5436717810878 514.9239393747799
1406.5710044916673 1296.7113188804035
686.9400813389543 1203.1094407365172
699.8460163564648 1200.4143273008435
592.6331102458028 493.06885604970194
689.1421168453987 1207.2391650842198
595.2285137901828 495.2752442959196
603.3936984753137 508.99784993822476
504.30179334671993 97.54330137055464
503.58388175232 100.2063580956365
589.7701047849148 509.6118235120768
1400.3519325943012 1306.7442258012616
1392.1918203610237 1313.857858146151
504.15055932970716 107.7578000271899
507.98613757134643 103.49286915310306
1402.596484175161 1311.81716212592
1394.3030079555144 1310.3750409833365
491.610445638695 107.17489493537035
1388.4934350499263 1292.976857571189
499.3117169693023 110.35653932519406
1378.8602188004281 1305.4521503388678
705.6775702021023 1207.626581216828
691.7297542691687 1197.540413312401
510.3058990629626 91.1180401913438
600.5217978638096 489.3185776920499
695.5441803122853 1197.1751198012576
510.29231614187404 108.47434280986315
601.6468871094248 513.2754940557653
697.6705743936284 1185.4262229198403
672.7507746055674 1200.6804675590774
